[0.0s - 30.0s]  Субтитры создавал DimaTorzok
[847.8s - 855.3s]  немножко посложнее эти задачи то есть если целевая функция ограничений непрерывно будут
[855.3s - 861.4s]  дифференцированы нелинейной скалярной функции то как раз таки это не линейное программирование
[861.4s - 868.9s]  здесь дальше квадратичное программирование пожалуйста это где целевая функция представлена
[868.9s - 876.3s]  полином второй степени а система ограничений линейно дальше дробно линейное программирование
[876.3s - 882.4s]  целевая функция представляет собой дробно линейную функцию система ограничений линейно то есть первые
[882.4s - 888.3s]  вам ключевые слова подсказывают вам дальше параметрическое есть программирование это
[888.3s - 891.4s]  когда у нас исходные параметры задачи нелинейного программирования
[891.4s - 900.7s]  могут изменяться в некоторых пределах дальше есть дискретное программирование раздел тоже
[900.7s - 905.9s]  математическое программирование как мы уже видели где на экстремальные задачи накладываются условия
[905.9s - 913.3s]  дискретности переменных при конечной области допустимых значений дальше геометрическое
[913.3s - 921.1s]  программирование есть у нас с вами это где некоторые объекты у нас расположу заданных
[921.1s - 929.7s]  двухмерной трехмерной области но это обычно идет раскрой там материала какого-либо изделия дальше
[929.7s - 936.3s]  стахастическое линейное программирование это где коэффициент целевой функции коэффициенты как раз
[936.3s - 943.2s]  матриц коэффициентов и коэффициент ограничений они становятся случайными величинами поэтому слово с
[943.3s - 950.2s]  тахастика появляется стахастическое линейное программирование вот сколько у нас с вами методов
[950.2s - 956.0s]  есть которые относятся к методам математического программирования еще раз повторяю мы с вами
[956.0s - 963.9s]  остановимся на линейном программировании и на динамическом программирование ну теперь давайте
[963.9s - 969.7s]  более подробно рассматриваем линейное программирование а именно постановку задачи
[969.7s - 973.1s]  дальше кто во первых
[973.3s - 991.3s]  Как ввел линейное программирование, что оно себя представляет, форма задачи линейного программирования, как они обозначаются, потому что это нам нужно будет теперь на всех последующих, наверное, 9 лекциях.
[991.3s - 1003.8s]  Итак, термин линейное программирование был введен в 1949 году прошлого столетия известным ученым Джорджем Датцегом для задач, условной линейной оптимизации.
[1003.8s - 1017.1s]  Когда говорят линейное программирование, мы уже с вами выше видели на слайде, что это направление математического программирования, которое будет изучать методы решения экстремальных задач,
[1018.8s - 1020.8s]  которые будут характеризоваться линейной зависимостью.
[1021.3s - 1029.9s]  Между переменными необходимым условием здесь являются ограничения на наличие ресурсов, то есть на переменные.
[1031.0s - 1047.8s]  Линейное программирование нам позволяет найти с вами наибольшее или наименьшее или еще наилучшее значение линейной функции, на неизвестные, которые наложены, линейные ограничения.
[1047.8s - 1051.3s]  И вот эта линейная функция, она как раз...
[1051.3s - 1057.3s]  Она как раз будет называться целевой функцией, которая будет стремиться либо к минимуму, либо к максимуму.
[1058.1s - 1069.4s]  А ограничения на переменные, математически они записываются в виде уравнений, либо в виде неравенств, они называются системой ограничений.
[1071.5s - 1072.3s]  Дальше.
[1073.2s - 1077.4s]  Признаки того, что мы с вами работаем с оптимизационной моделью.
[1077.5s - 1079.6s]  То есть признаки оптимизационной модели.
[1079.6s - 1080.2s]  Какие?
[1080.6s - 1081.0s]  Первое.
[1081.3s - 1088.5s]  Это наличие самого признака оптимальности, который, как мы уже сказали, будет целевой.
[1088.7s - 1089.8s]  Еще раз повторяю.
[1090.1s - 1099.9s]  Это может быть максимум дохода, минимальная скорость, максимум прибыли, максимальная производительность, минимум времени, максимум времени.
[1100.8s - 1105.1s]  И второе, еще раз повторяю, признак важный этой оптимизационной модели.
[1105.1s - 1111.2s]  Это то, что есть система ограничений, которая будет состоять из уравнений.
[1111.3s - 1119.0s]  Там неравенств, это как раз-таки условия, которые описывают множество вариантов решений.
[1120.2s - 1126.5s]  И, конечно, третье здесь есть, это требования неотрицательности переменных.
[1127.0s - 1133.6s]  То есть вот эти три составляющие как раз-таки входят в задачи линейного программирования.
[1133.6s - 1140.6s]  То есть математическая модель любой задачи линейного программирования как раз-таки будет в себя включать три вот эти составляющие.
[1141.3s - 1147.7s]  Целевую функцию, систему ограничений и требования неотрицательности переменных.
[1148.2s - 1156.8s]  Ну, а теперь давайте рассмотрим, какие у нас вообще формы записи бывают в форме задач линейного программирования.
[1157.5s - 1161.6s]  Их всего существует три формы записи.
[1165.2s - 1169.9s]  Это бывает, ну мы сейчас дойдем, это вот общая задача.
[1170.4s - 1171.2s]  Дальше бывает...
[1171.3s - 1174.2s]  Стандартная задача и каноническая.
[1174.5s - 1179.0s]  Вот из этих всех трех мы чаще всего будем с вами работать с канонической записью.
[1179.3s - 1185.0s]  Но нам нужны все эти виды записи, потому что я немножко забегу вперед.
[1185.4s - 1192.0s]  Их существует три, и мы можем переходить из одной записи формы задачи в другую.
[1192.0s - 1194.6s]  Поэтому нам надо знать все эти три.
[1195.1s - 1200.5s]  Мы вначале рассматриваем теорию, смотрим, а потом я это все сведу в виде таблички.
[1201.3s - 1205.2s]  То есть свела все в виде... в табличку, чтобы было легче вам ориентироваться.
[1205.7s - 1206.6s]  Итак, первое.
[1207.0s - 1209.3s]  Это общая задача линейного программирования.
[1209.6s - 1210.7s]  Посмотрите, пожалуйста.
[1211.1s - 1213.1s]  Она состоит из целевой функции.
[1213.5s - 1216.1s]  Целевая функция обычно обозначается буковкой S.
[1216.1s - 1222.4s]  И у вас здесь стремится к экстремальному значению функции.
[1222.9s - 1223.2s]  Дальше.
[1223.3s - 1226.3s]  И даны условия, где система уравнений.
[1226.3s - 1229.1s]  Посмотрите, где есть неравенство и равенство.
[1230.2s - 1230.3s]  Есть.
[1230.6s - 1230.9s]  И.
[1231.3s - 1236.2s]  То, о чем мы говорили, это требования неотрицательности переменных.
[1236.6s - 1237.7s]  Вот оно здесь есть.
[1240.4s - 1241.2s]  Дальше.
[1242.7s - 1248.6s]  Решения, которые будут удовлетворять системе ограничений и требованиями отрицательности,
[1248.7s - 1250.3s]  их называют допустимыми.
[1250.3s - 1257.7s]  А решения, которые будут удовлетворять одновременно и требованиями минимизации и максимизации левых функций,
[1257.8s - 1259.6s]  называются оптимальными.
[1260.2s - 1260.3s]  Оптимальными.
[1261.3s - 1270.6s]  Итак, как можно вообще работать с этой общей задачей линейного программирования?
[1270.7s - 1271.7s]  Посмотрите, пожалуйста.
[1272.0s - 1277.8s]  Общая задача имеет как векторную, так и матричную формы записи.
[1278.1s - 1286.4s]  Вот здесь вот дана векторная запись и форма записи, и ниже дана матричная форма записи.
[1287.3s - 1289.8s]  Мы будем и с той, и с той формой работать.
[1290.5s - 1291.0s]  Дальше.
[1291.3s - 1294.6s]  Что нам нужно здесь с вами еще знать?
[1295.2s - 1307.9s]  Что данная задача, вот как раз-таки, она может быть еще и, ну скажем так, вернее, не общая форма записи,
[1307.9s - 1314.9s]  а вообще следующая форма записи, которая является немаловажной, это стандартная форма,
[1315.8s - 1319.1s]  или еще говорят, стандартная задача линейного программирования.
[1319.3s - 1321.3s]  Ее могут еще называть некоторых источников.
[1321.3s - 1324.1s]  Литература симметрическая.
[1325.0s - 1329.1s]  Здесь, пожалуйста, также есть целевая функция.
[1329.7s - 1330.2s]  Вот она.
[1330.7s - 1334.5s]  Стремится к максимуму, либо она может стремиться к минимуму.
[1334.9s - 1340.0s]  Но посмотрите здесь, что система уравнений состоит из неравенств.
[1340.3s - 1343.7s]  И также есть в конце условие неотрицательности.
[1345.0s - 1345.3s]  Дальше.
[1345.5s - 1350.5s]  В матричных обозначениях стандартная задача будет записываться следующим образом.
[1350.5s - 1351.3s]  Вот она.
[1351.4s - 1352.7s]  Вот здесь у нас с вами есть.
[1353.8s - 1359.9s]  Ну и последняя форма записи, это так называемая каноническая форма записи.
[1360.2s - 1363.1s]  Ее еще называют основная форма записи.
[1363.7s - 1367.5s]  Пожалуйста, целевая функция стремится к максимуму,
[1368.4s - 1374.6s]  а система ограничений состоит из уравнений.
[1375.2s - 1378.0s]  И все переменные у нас с вами неотрицательные.
[1378.0s - 1381.2s]  Вот в конце есть у нас с вами эта запись.
[1381.3s - 1382.1s]  Дальше.
[1383.2s - 1393.0s]  Эту же каноническую форму мы можем также записать в виде векторной формы.
[1393.2s - 1397.2s]  Пожалуйста, вот она векторная у нас с вами форма есть.
[1397.6s - 1399.3s]  Здесь она представлена.
[1401.9s - 1407.7s]  Ну, а я пока то, что ниже не озвучу, потому что на следующей лекции я буду это рассказывать.
[1407.7s - 1411.2s]  Поэтому я озвучу только то, что вам нужно сегодня знать.
[1411.3s - 1412.0s]  Дальше.
[1412.0s - 1416.8s]  На следующем слайде, 16 слайде, представлена картинка того,
[1417.0s - 1419.3s]  чего мы сейчас с вами рассмотрели на всех трех слайдах.
[1420.0s - 1420.5s]  Посмотрите.
[1421.0s - 1425.4s]  Каноническая основная форма, стандартная, симметрическая и общая.
[1425.9s - 1426.4s]  Посмотрите.
[1426.8s - 1429.0s]  Все три формы имеют что?
[1429.2s - 1432.8s]  Ограничение, условия неотрицательности и целевую функцию.
[1433.6s - 1434.0s]  Дальше.
[1434.3s - 1437.9s]  Нужно здесь обратить внимание на ограничения.
[1437.9s - 1438.1s]  И это не я.
[1438.9s - 1440.9s]  Каноническая форма состоит только...
[1441.3s - 1442.2s]  Из уравнений.
[1442.8s - 1443.2s]  Дальше.
[1443.3s - 1447.7s]  Стандартная состоит только из неравенств.
[1448.1s - 1451.8s]  И общая форма состоит из уравнений и неравенств.
[1453.1s - 1455.7s]  Условия неотрицательности везде есть.
[1456.2s - 1460.2s]  И целевая функция везде, она либо к максимуму, либо к минимуму.
[1460.9s - 1462.9s]  Что здесь нужно нам отметить?
[1463.2s - 1465.0s]  Вот здесь я красненьким вам выделила.
[1465.0s - 1468.5s]  Чтобы перейти от одной формы записи к другой,
[1469.0s - 1470.0s]  нужно...
[1471.3s - 1475.3s]  Во-первых, сводить задачи, например, минимизации к максимизации,
[1476.1s - 1479.7s]  переходить от ограничений неравенств к равенствам,
[1479.7s - 1482.1s]  потому что мы с равенствами с вами умеем работать,
[1482.8s - 1485.2s]  и заменять некоторые переменные,
[1486.3s - 1489.3s]  которые не подчинены условиям неотрицательности.
[1490.1s - 1494.8s]  То есть применить несколько таких вот шагов.
[1494.8s - 1498.2s]  Ну, а теперь давайте будем уже конкретно рассматривать,
[1498.4s - 1500.8s]  как нам переходить...
[1501.3s - 1508.2s]  от какой-либо задачи к каноническому виду или к канонической форме.
[1508.5s - 1513.9s]  И рассмотрим правила приведения задач линейного программирования к каноническому виду.
[1514.4s - 1517.3s]  Существует четыре всего правила, очень простые.
[1517.8s - 1519.5s]  Посмотрите, пожалуйста, внимательно.
[1520.3s - 1525.8s]  Если в нашей исходной задаче есть ограничение,
[1525.8s - 1528.4s]  и оно было у нас в виде неравенств,
[1529.0s - 1531.1s]  то оно должно у нас с вами преобразоваться,
[1531.1s - 1531.9s]  и оно должно преобразоваться в равенство.
[1532.8s - 1534.4s]  И тогда обратите внимание,
[1535.4s - 1539.3s]  в левую часть некоторой неотрицательной переменной
[1539.3s - 1542.4s]  для неравенства вот такого вида,
[1542.6s - 1548.1s]  когда знак у нас вот, видите, вот такой клюв смотрит влево,
[1549.7s - 1553.9s]  то вводится дополнительная переменная, неотрицательная, со знаком плюс.
[1554.8s - 1558.6s]  Если у нас с вами знак неравенства будет вот таким вот,
[1558.6s - 1560.6s]  то мы с вами...
[1561.1s - 1566.0s]  Вводим неотрицательную переменную со знаком минус.
[1567.0s - 1569.7s]  Для того, чтобы нам уравнять с вами.
[1570.4s - 1571.8s]  Вот такое простое правило.
[1572.5s - 1574.2s]  Следующее, второе правило.
[1574.7s - 1581.1s]  Если в нашей исходной задаче переменная не будет подчинена условию неотрицательности,
[1581.6s - 1584.9s]  то мы ее заменяем разностью неотрицательных переменных.
[1585.3s - 1587.1s]  Сейчас мы это все рассмотрим на примере.
[1587.8s - 1588.7s]  Третье.
[1589.2s - 1591.1s]  Если в наших ограничениях...
[1591.1s - 1593.5s]  Правая часть отрицательна,
[1594.1s - 1597.6s]  то мы умножаем с вами это ограничение на минус один,
[1598.1s - 1601.3s]  чтобы избавиться от этой отрицательности.
[1601.3s - 1603.4s]  И последнее, четвертое.
[1603.8s - 1607.3s]  Если наша исходная задача стремилась, целевая функция, к минимуму,
[1608.5s - 1611.5s]  а нам, конечно, удобнее работать с максимумом,
[1611.7s - 1614.0s]  то мы введем новую целевую переменную.
[1615.4s - 1620.8s]  То есть мы преобразуем нашу задачу на минимум, на максимум.
[1621.1s - 1624.0s]  Но это уже будет другая целевая функция.
[1624.2s - 1627.1s]  И она обозначается обычно другой буквой.
[1627.4s - 1630.5s]  Ну, обычно там буквы «ж» английской.
[1630.5s - 1633.7s]  Давайте теперь рассмотрим с вами пример.
[1634.6s - 1640.1s]  То есть нам нужно привести нашу исходную задачу к каноническому виду.
[1640.4s - 1644.9s]  Посмотрите, дана система уравнений, состоящая из неравенств,
[1645.4s - 1650.4s]  даны условия неотрицательности, которые накладываются на переменные,
[1650.4s - 1653.4s]  и целевая дана функция, которая стремится к максимуму.
[1654.8s - 1657.3s]  Дальше, что мы с вами рассматриваем?
[1658.3s - 1665.4s]  Мы с вами смотрим вначале на систему уравнений.
[1665.8s - 1666.4s]  То есть первое неравенство.
[1667.4s - 1671.4s]  Мы с вами вводим неотрицательную переменную х3.
[1671.8s - 1672.7s]  Почему х3?
[1672.8s - 1677.3s]  Потому что у нас с вами х1 есть и х2 есть, х3 нет.
[1677.3s - 1680.3s]  Значит, мы с вами вводим новую неотрицательную переменную,
[1680.4s - 1683.3s]  новую переменную со знаком «минус».
[1683.3s - 1686.5s]  Почему? Потому что вот у нас знак вот с вами вот такой.
[1687.2s - 1690.7s]  То есть левая часть больше правой.
[1692.2s - 1695.5s]  Дальше мы смотрим второе уравнение и смотрим.
[1695.9s - 1699.4s]  Раз у нас правая часть больше, чем левая,
[1699.5s - 1701.2s]  знак вот такой мы с вами имеем,
[1701.6s - 1706.2s]  значит, во второе и в третье уравнение, вернее, неравенство,
[1706.2s - 1710.2s]  мы с вами вводим неотрицательные перемены со знаком,
[1710.4s - 1715.6s]  плюс, и уже идут следующие переменные 4 и 5.
[1716.3s - 1719.0s]  Все. Вот мы их ввели с вами,
[1719.3s - 1724.2s]  и в итоге получили вот такое вот систему уравнений,
[1724.3s - 1726.1s]  которую мы уже, в принципе, решать можем.
[1726.2s - 1727.8s]  Три уравнения, три неизвестных.
[1729.0s - 1732.9s]  Все. А дальше мы можем с вами записать
[1732.9s - 1739.6s]  следующую целевую функцию с учетом новых введенных переменных.
[1739.6s - 1740.3s]  Вот они.
[1740.4s - 1741.9s]  Вот они здесь у нас с вами представлены.
[1742.3s - 1745.9s]  Вот, пожалуйста, мы с вами рассмотрели первое правило,
[1746.7s - 1752.0s]  когда мы с вами смотрели на знак и вводили неотрицательные переменные.
[1753.0s - 1754.4s]  Дальше. Следующий пример.
[1754.8s - 1757.1s]  Нам также нужно с вами что сделать?
[1757.5s - 1759.1s]  Привести к экономическому виду.
[1759.6s - 1762.8s]  Но посмотрите, пожалуйста, у нас здесь уже с вами что?
[1762.8s - 1769.5s]  Есть система уравнений, состоящая из неравенств,
[1770.4s - 1772.7s]  но здесь уже, видите, есть отрицательность.
[1772.9s - 1773.8s]  Давайте начнем.
[1774.3s - 1776.5s]  А, и целевая функция стремится к минимуму.
[1776.9s - 1778.3s]  Ну, первое, что мы сделаем,
[1778.8s - 1782.9s]  мы воспользуемся четвертым свойством и заменим целевую функцию.
[1782.9s - 1785.9s]  То есть мы с вами перейдем от минимума к максимуму.
[1786.7s - 1790.9s]  То есть была f-функция, станет она уже новой,
[1791.2s - 1794.1s]  что называется, целевой функцией, мы назовем ее g.
[1795.2s - 1797.6s]  Вот. То есть вот такая вот математическая запись.
[1798.0s - 1800.4s]  И функция целевая уже будет...
[1800.4s - 1802.3s]  Следующий у нас в виде выглядит.
[1802.4s - 1805.6s]  Посмотрите, то есть мы умножили на минус один с вами.
[1808.8s - 1809.5s]  Дальше.
[1810.3s - 1813.8s]  Мы преобразуем теперь с вами ограничения,
[1813.9s - 1816.4s]  то есть наше неравенство к равенству.
[1816.9s - 1818.8s]  И мы уже с вами смотрим.
[1818.8s - 1823.4s]  Если у нас с вами правая часть больше, чем левая,
[1823.9s - 1825.6s]  то есть вот такой вот знак неравенства,
[1826.0s - 1828.8s]  то мы с вами прибавляем...
[1830.4s - 1832.4s]  Неотрицательную переменную.
[1833.3s - 1836.2s]  Здесь всего 2, 3, так, 3 переменных,
[1836.3s - 1838.4s]  значит, мы уже будем прибавлять с вами 4.
[1838.7s - 1839.4s]  x4.
[1840.0s - 1841.0s]  Вот мы и прибавили.
[1841.6s - 1843.0s]  Дальше мы смотрим.
[1843.0s - 1845.6s]  Здесь знак левая часть больше правой.
[1846.1s - 1847.4s]  Значит, мы что с вами делаем?
[1847.9s - 1850.5s]  Мы вводим неотрицательную переменную со знаком минус.
[1850.8s - 1851.7s]  Вот мы и внесли.
[1851.8s - 1852.7s]  Минус x5.
[1852.9s - 1853.6s]  Идет следующее.
[1853.8s - 1854.6s]  И так далее.
[1855.0s - 1856.1s]  То есть третье уравнение.
[1856.6s - 1859.0s]  Добавляем переменную со знаком плюс 6.
[1859.4s - 1860.0s]  Все сделали.
[1860.4s - 1862.8s]  Дальше мы говорим себе стоп.
[1863.4s - 1863.6s]  О чем?
[1864.2s - 1873.3s]  О том, что у нас с вами в правой части присутствует знак минус.
[1873.9s - 1874.6s]  Знак минус.
[1874.9s - 1876.9s]  И мы с вами в правиле говорили,
[1877.4s - 1880.9s]  что если в ограничениях правая часть отрицательна,
[1881.2s - 1883.9s]  то следует умножить это ограничение на минус 1.
[1884.4s - 1887.4s]  Пожалуйста, мы умножили на минус 1 второе неравенство
[1887.4s - 1889.5s]  и получили вот такое вот равенство.
[1889.5s - 1890.3s]  Хорошо.
[1890.4s - 1893.6s]  Дальше как мы с вами рассуждаем?
[1896.4s - 1898.6s]  Дальше мы с вами как рассуждаем?
[1899.1s - 1901.8s]  Что все переменные у нас с вами что?
[1902.2s - 1904.7s]  Должны быть больше либо равно нулю.
[1905.0s - 1906.3s]  Это такое правило.
[1906.7s - 1911.3s]  Но у нас, посмотрите, пожалуйста, x1 меньше либо равно нулю.
[1912.5s - 1916.5s]  Значит, мы должны с вами использовать...
[1916.5s - 1919.6s]  Какое у нас там было по счету?
[1920.4s - 1923.0s]  По-моему, второе правило,
[1923.4s - 1926.2s]  что если наша в исходной задаче какая-то некоторая переменная
[1926.2s - 1928.2s]  не подчинена условию неотрицательности,
[1928.6s - 1931.8s]  мы ее заменяем разностью неотрицательных переменных.
[1932.2s - 1933.3s]  Посмотрите, пожалуйста.
[1933.8s - 1937.1s]  Вот мы ее заменили следующими переменными.
[1937.6s - 1940.1s]  Иногда не вводят новые переменные,
[1940.2s - 1941.5s]  а просто добавляют штрих.
[1942.6s - 1943.8s]  Вот мы сделали.
[1943.9s - 1947.4s]  И теперь посмотрим на первую мы с вами запись,
[1947.4s - 1950.1s]  которая была в самом начале, и на последнюю.
[1950.4s - 1953.1s]  То есть целевая функция вначале стремилась к минимуму,
[1953.1s - 1960.1s]  мы ее по правилам сделали максимуму дальше,
[1960.1s - 1965.1s]  и были у нас с вами неравенства, стали у нас с вами равенства.
[1966.4s - 1966.6s]  Все.
[1967.7s - 1969.7s]  Ну, там уже можно дальше решать и так далее.
[1969.8s - 1971.4s]  Но мы на этом с вами останавливаемся,
[1971.5s - 1973.9s]  потому что этими примерами я хочу показать,
[1974.3s - 1977.1s]  как работают вот эти вот у нас с вами правила.
[1978.3s - 1980.1s]  Давайте еще раз смотрим один пример.
[1980.4s - 1985.0s]  Привести к каноническому виду задачу линейно-программирования.
[1985.1s - 1986.1s]  Посмотрите, пожалуйста.
[1986.2s - 1988.5s]  Здесь целевая функция стремится к минимуму,
[1988.5s - 1994.5s]  и система ограничений состоит из равенства и неравенства.
[1996.1s - 2000.9s]  Значит, первое, что бросается нам в глаза,
[2001.5s - 2007.1s]  то, что вы можете, например, сделать, это что?
[2007.8s - 2010.4s]  Это, во-первых, неравенство превратить в уравнение.
[2010.4s - 2017.2s]  То есть, когда мы добавляем с вами со знаком плюс или со знаком минус новую переменную.
[2017.5s - 2018.5s]  Сделали, добавили.
[2019.1s - 2021.6s]  Дальше мы с вами что смотрим?
[2021.9s - 2026.9s]  У нас была функция минимум, мы решили ее сделать функцией максимум.
[2028.7s - 2030.5s]  Дальше, ну, вот здесь вот не написано,
[2030.6s - 2035.8s]  х1 у нас с вами тоже не наложено на условие неотрицательности.
[2035.8s - 2039.5s]  Поэтому мы должны применить с вами второе правило
[2039.5s - 2039.8s]  и сделать...
[2040.4s - 2044.8s]  И сделать это все в виде разности неотрицательных переменных.
[2045.2s - 2047.4s]  Видите, здесь новые переменные не вносят,
[2048.0s - 2051.7s]  а просто пишут один штрих и х1 два штриха.
[2052.1s - 2054.5s]  То есть вы выбираете любой подход,
[2054.6s - 2057.1s]  либо который был на предыдущем слайде 19,
[2057.5s - 2058.4s]  либо который здесь.
[2059.1s - 2062.8s]  Вот, пожалуйста, все мы правила с вами применили.
[2063.4s - 2066.3s]  Давайте еще раз закрепим, еще один рассмотрим пример,
[2066.4s - 2067.9s]  что у нас может быть с вами.
[2067.9s - 2069.9s]  Пожалуйста, вот есть...
[2070.4s - 2074.6s]  Следующая запись, и нужно ее привести к канонической форме
[2074.6s - 2077.2s]  задач линейного программирования.
[2077.6s - 2078.9s]  Она к минимуму стремится.
[2079.4s - 2081.2s]  Дальше, тут у нас все неравенства,
[2081.3s - 2083.4s]  но правая часть, вот здесь минус единица.
[2084.0s - 2087.9s]  Значит, первое, что мы от неравенства уходим к равенствам.
[2088.3s - 2091.9s]  Вот мы пришли, то есть вели со знаком плюс,
[2092.0s - 2093.6s]  со знаком минус новые переменные.
[2094.5s - 2096.7s]  Дальше мы избавляемся от знака минус,
[2096.7s - 2100.4s]  то есть мы берем уравнение и умножаем его на минус единицу,
[2100.4s - 2105.9s]  и дальше, поскольку у нас на первое значение
[2105.9s - 2110.0s]  не наложено ограничение неотрицательности,
[2110.4s - 2112.3s]  мы с вами вводим,
[2114.5s - 2117.2s]  делаем неотрицательными,
[2118.5s - 2122.9s]  то есть заменяем разностью неотрицательных переменных.
[2123.6s - 2124.9s]  Пожалуйста, заменили.
[2125.4s - 2127.0s]  И вот во что у нас вылилось,
[2127.0s - 2130.1s]  то есть какую мы с вами получили запись.
[2130.4s - 2132.6s]  Ну, а дальше она решается.
[2135.2s - 2140.0s]  Дальше, всякую задачу линейного программирования
[2140.0s - 2143.5s]  можно вообще сформулировать в стандартной форме.
[2146.0s - 2150.4s]  И приведение как раз в стандартной форме,
[2151.8s - 2155.2s]  чтобы его привести, нужно выполнить некоторые действия.
[2155.5s - 2156.4s]  Всего четыре действия.
[2156.4s - 2157.4s]  Посмотрите, пожалуйста.
[2157.9s - 2160.4s]  Нужно перейти от минимизации целевой формы,
[2160.4s - 2161.9s]  функции к ее максимизации,
[2162.6s - 2165.0s]  изменить знаки правых частей ограничений,
[2165.5s - 2168.1s]  перейти от ограничений равенств к неравенствам
[2168.1s - 2169.7s]  и избавиться от переменных,
[2170.0s - 2172.3s]  которые не имеют ограничений на знак.
[2173.3s - 2177.6s]  И здесь, ну, достаточно простая задача,
[2178.0s - 2181.1s]  но много вычислительных будет моментов.
[2181.4s - 2182.3s]  Давайте посмотрим.
[2182.6s - 2185.4s]  Привести к стандартному виду задачи.
[2185.5s - 2188.0s]  То есть у нас есть система равенств с вами,
[2188.0s - 2190.4s]  есть ограничения на каждой перемене,
[2190.5s - 2191.7s]  но все они отрицательные,
[2192.2s - 2195.0s]  и функция целевая стремится у нас с вами к минимуму.
[2196.2s - 2197.8s]  Давайте мы ее попробуем решить.
[2198.5s - 2202.1s]  И здесь в лоб вот так вот быстро как бы не решишь.
[2202.4s - 2203.8s]  Нужно решать постепенно.
[2204.1s - 2206.9s]  Пожалуйста, как рекомендация,
[2207.0s - 2213.2s]  мы с вами выражаем через х1 и х2 все остальные переменные.
[2214.0s - 2215.1s]  Вот мы их выразили.
[2216.2s - 2219.1s]  Дальше вы, соответственно, решаете и находите.
[2219.1s - 2220.1s]  Вот х3, х4.
[2220.4s - 2222.4s]  Х4, х5, х6 вы нашли.
[2222.5s - 2223.2s]  Все упростить.
[2223.8s - 2230.4s]  Дальше целевая функция с учетом вот этих вот у нас с вами уравнений
[2230.4s - 2232.1s]  будет выглядеть следующим образом.
[2232.4s - 2233.6s]  Вот эта запись есть.
[2234.3s - 2235.2s]  Стремиться к минимуму.
[2235.5s - 2237.7s]  Дальше мы это раскрываем в скобки, упрощаем.
[2238.1s - 2239.6s]  Получилась вот такая запись.
[2241.3s - 2241.6s]  Вот.
